Pricing Variables,,,,,,,,,,,,
,,,,,,,,,,,,
The cost for towbar parts + towbar fitting minutes are contained on 'TT Towbars.  The cost for VSK parts are contained on TT VSK.  Tow Trust's VSK fitting minute estimates are not used and found below.,,,,,,,,,,,,
,,,,,,,,,,,,
TT Towbar & TT Towbar Notes Mapping (enter TT Towbar tab column headers for the required info),,,,,,,,,,,,
Data requirement,Column header,,,,,,,,,,,
Make,MAKE,,,,,,,,,,,
Model,MODEL,,,,,,,,,,,
Body Tyoe,BODY TYPE,,,,,,,,,,,
Vehicle Description,VEHICLE DESCRIPTION,,,,,,,,,,,
Towbar Type,TOWBAR TYPE,,,,,,,,,,,
RRP,RRP Apr 2025           (Issue 28),,,,,,,,,,,
Notes,NOTES,,,,,,,,,,,
,,,,,,,,,,,,
TT VSK Mapping (enter TT VSK tab column headers for the required info),,,,,,,,,,,,
Data requirement,Column header,,,,,,,,,,,
Make,MAKE,,,,,,,,,,,
Model,MODEL,,,,,,,,,,,
Body Tyoe,BODY TYPE,,,,,,,,,,,
Vehicle Description,VEHICLE DESCRIPTION,,,,,,,,,,,
VSK Type,VSK TYPE,,,,,,,,,,,
RRP,RRP Apr 2025           (Issue 28),,,,,,,,,,,
Extension kit required,Full Function Extension Kit,,,,,,,,,,,
Notes,NOTES,,,,,,,,,,,
,,,,,,,,,,,,
Towbar & VSK fitting cost per hour,Cost per hour,,,,,,,,,,,
Towbars + Fitting +/- VSK,Towbar Plus VSK,7 PIN,Yes,No,Yes,,,Yes,7-pin (12N) socket fully wired electrics with VSK wiring - (bike rack/trailer with 7-pin socket),,,
Towbars + Fitting +/- VSK,Towbar Only,13 PIN,No,Yes,No,,,Yes,13-pin socket universal electrics for caravans (bike rack/trailer with 13-pin socket),,,
Towbars + Fitting +/- VSK,Towbar Plus VSK,13 PIN,Yes,No,Yes,,,Yes,13-pin socket fully wired electrics with VSK for caravans (bike rack/trailer with 13-pin socket),,,
Towbars + Fitting +/- VSK,Towbar Only,13 PIN road lights only,No,Yes,No,,,Yes,13-pin socket universal wired for road lights only (bike rack/trailer with 13-pin socket),,,
Towbars + Fitting +/- VSK,Towbar Plus VSK,13 PIN road lights only,Yes,No,Yes,,,No,N/a,,,
Towbars + Fitting +/- VSK,Towbar Only,TWIN,No,Yes,No,,Detachable,Yes,Twin 7-pin (12N & 12S) socket universal electrics for caravans (pre 2008),,,
Towbars + Fitting +/- VSK,Towbar Only,TWIN,No,Yes,No,Detachable,,No,N/a,,,
Towbars + Fitting +/- VSK,Towbar Plus VSK,TWIN,Yes,No,Yes,,,No,N/a,,,
VSK only,VSK Only,7 PIN,Yes,No,Yes,,,Yes,7-pin (12N) socket fully wired electrics with VSK wiring - (bike rack/trailer with 7-pin socket),,,
VSK only,VSK Only,13 PIN,Yes,No,Yes,,,Yes,13-pin socket fully wired electrics with VSK for caravans (bike rack/trailer with 13-pin socket),,,
,,,,,,,,,,,,
Assumptions,,,,,,,,,,,,
The Quote Tool assumes that:,,,,,,,,,,,,
- there is no VSK option for Twin PIN,,,,,,,,,,,,
"- there is no TWIN PIN option for detachable towbars, as can't fit",,,,,,,,,,,,
- 7 PIN will only match with 7 PIN VSK,,,,,,,,,,,,
- 13 PIN will only match with 13 PIN VSK,,,,,,,,,,,,
- the pick up 5m cable only applies to universal wiring,,,,,,,,,,,,
